2022-08-22 01:32:15,pingineer_jp,domain,vioinvssasnoiwzxera.vocasccoensucvoiei.qigfcj.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526631373553664
2022-08-22 01:32:20,pingineer_jp,domain,viaseesciooiwzxrem.vsosirvsenismcvoiei.arowal.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526653410455552
2022-08-22 01:32:25,pingineer_jp,domain,vioesreosnv.vsoersioirescvi.ocsbjyy.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526675791544320
2022-08-22 01:32:32,pingineer_jp,domain,vioesreorceosnv.vsoersoecsioirescvi.ipvrmgx.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526702202793987
2022-08-22 01:32:37,pingineer_jp,domain,viaseescviiooiwzxrem.vsosirvsenismsivi.pxqpik.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526724151869440
2022-08-22 01:32:42,pingineer_jp,domain,vioinvssasnoiwzxera.vocasccoensucvoiei.xutdbc.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526746302025728
2022-08-22 01:32:47,pingineer_jp,domain,vioesrescsnv.vsoersroirescvi.mbjalki.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526768279777285
2022-08-22 01:32:53,pingineer_jp,domain,vioinvssxaonsrscziera.vocaseocosucvoiei.czaoxt.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526790304083968
2022-08-22 01:32:58,pingineer_jp,domain,vioerescsnv.vsoersroirevxarevi.jjmxonp.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526812345499648
2022-08-22 01:33:03,pingineer_jp,domain,vioesrescsnv.vsoersroirescvi.gvzoadd.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526834310680578
2022-08-22 01:33:09,pingineer_jp,domain,vioerescsnv.vsoersroirevxarevi.qwacvnw.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526856582516737
2022-08-22 01:33:14,pingineer_jp,domain,vioesrescsnv.vsoersroirescvi.drdsyje.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526878711660544
2022-08-22 01:33:20,pingineer_jp,domain,vioinvssxaoesnsrscziera.vocaseocosunvi.fkbwav.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526905110937600
2022-08-22 01:33:26,pingineer_jp,domain,vioinvaoesnsiera.vocasccosucvoiei.mhlvfi.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526931283070978
2022-08-22 01:33:32,pingineer_jp,domain,vianocenure.visoresiercvxarevi.igsxqxl.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526953337057280
2022-08-22 01:33:37,pingineer_jp,domain,viaseesxcvoerscznrem.vsosieovsismscvoiei.ovpzzh.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561526975294246912
