2026-08-07 06:33:00,ishivtripathi,url,http://keysyncos.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,myoktasso.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://myoktasso.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,setupssopasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://setupssopasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,hubpasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://hubpasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,domain,createssopasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://createssopasskey.com,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://31.7.56.61,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://31.7.56.52,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://193.34.212.132,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://185.178.208.153,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://23.234.75.84,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://195.140.213.114,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://195.140.213.115,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://107.128.45.122,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://76.103.148.180,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://38.42.59.171,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,url,http://47.218.103.146,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,31.7.56.61,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,31.7.56.52,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,193.34.212.132,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,185.178.208.153,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,23.234.75.84,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,195.140.213.114,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,195.140.213.115,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,107.128.45.122,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,76.103.148.180,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,38.42.59.171,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 06:33:00,ishivtripathi,ip,47.218.103.146,#phishing,https://x.com/ishivtripathi/status/2085615388575101396
2026-08-07 07:14:00,Fact_Finder03,ip,182.92.180.194,#C2 #RAT,https://x.com/Fact_Finder03/status/2085625624534941911
