2026-06-28 17:31:00,sicehice,ip,153.117.34.2,,https://x.com/sicehice/status/2071285458147906015
2026-06-28 17:52:00,FalconFeedsio,url,http://94.140.115.129,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://94.140.114.239,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://161.35.199.2,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://77.91.66.85,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,hart-hulp-ua.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://hart-hulp-ua.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,saint-daniel.world,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://saint-daniel.world,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://108.165.164.155:1883,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,moonzonet.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://moonzonet.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://45.153.34.146:3001,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://185.236.25.119:3001,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,teams.onlivecall.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://teams.onlivecall.com,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,msonlive.us,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://msonlive.us,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,microsmeet.xyz,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,url,http://microsmeet.xyz,,https://x.com/FalconFeedsio/status/2071290776005570894
2026-06-28 17:52:00,FalconFeedsio,domain,code-jquery.net,,https://x.com/FalconFeedsio/status/2071290776005570894
