2025-04-02 20:53:46,drb_ra,url,http://142.171.168.59:2083,#CobaltStrike #C2,https://x.com/drb_ra/status/1907536959397896300
2025-04-02 20:53:46,drb_ra,ip,142.171.168.59,#CobaltStrike #C2,https://x.com/drb_ra/status/1907536959397896300
2025-04-02 21:02:21,Phish_Destroy,domain,doginme-reward.pages.dev,#malware #phishing,https://x.com/Phish_Destroy/status/1907539122568442234
2025-04-02 21:02:21,Phish_Destroy,url,https://doginme-reward.pages.dev,#malware #phishing,https://x.com/Phish_Destroy/status/1907539122568442234
2025-04-02 21:04:35,Phish_Destroy,domain,lightchainai.net,#scam #malware #phishing,https://x.com/Phish_Destroy/status/1907539682017018028
2025-04-02 21:04:35,Phish_Destroy,url,https://lightchainai.net,#scam #malware #phishing,https://x.com/Phish_Destroy/status/1907539682017018028
2025-04-02 21:17:46,Phish_Destroy,domain,camelot-ex.xyz,#phishing,https://x.com/Phish_Destroy/status/1907543002425315595
2025-04-02 21:17:46,Phish_Destroy,url,https://camelot-ex.xyz,#phishing,https://x.com/Phish_Destroy/status/1907543002425315595
2025-04-02 21:36:00,malwrhunterteam,sha256,c6e3855f6893092020a2dce35e30869d96a7922f2b805bbdf081eec97cbba62b,,https://x.com/malwrhunterteam/status/1907547588359758229
2025-04-02 21:37:37,Phish_Destroy,domain,portal-web-led-ge-r.netlify.app,#phishing,https://x.com/Phish_Destroy/status/1907547997619224654
2025-04-02 21:37:37,Phish_Destroy,url,https://portal-web-led-ge-r.netlify.app,#phishing,https://x.com/Phish_Destroy/status/1907547997619224654
2025-04-02 21:57:27,Phish_Destroy,domain,votes-usualmoney.net,#phishing,https://x.com/Phish_Destroy/status/1907552987351753018
2025-04-02 21:57:27,Phish_Destroy,url,https://votes-usualmoney.net,#phishing,https://x.com/Phish_Destroy/status/1907552987351753018
2025-04-02 22:00:09,urldna_bot,domain,help-livelederdownload.webflow.io,#phishing #scam,https://x.com/urldna_bot/status/1907553668947136540
2025-04-02 22:00:09,urldna_bot,url,http://help-livelederdownload.webflow.io,#phishing #scam,https://x.com/urldna_bot/status/1907553668947136540
