2022-10-29 02:17:59,ecarlesi,url,http://entaer-takarek.cyou/takarek/login.html,#phishing,https://twitter.com/ecarlesi/status/1586180514905563137
2022-10-29 02:20:07,ecarlesi,url,http://ackitia-takarek.cyou/takarek/loginer.html,#phishing,https://twitter.com/ecarlesi/status/1586181053877723140
2022-10-29 02:23:08,ecarlesi,url,http://blity.click/verification/,#phishing,https://twitter.com/ecarlesi/status/1586181813512314886
2022-10-29 02:23:11,ecarlesi,url,http://entaer-takarek.cyou/takarek/loginkd.html,#phishing,https://twitter.com/ecarlesi/status/1586181823192760322
2022-10-29 02:25:23,ecarlesi,url,https://flndmy-appleld-2s.live/,#phishing,https://twitter.com/ecarlesi/status/1586182376866172930
2022-10-29 02:25:33,ecarlesi,url,http://xiaomi-device-location.live/,#phishing,https://twitter.com/ecarlesi/status/1586182422051405824
2022-10-29 02:25:42,ecarlesi,url,http://entaer-takarek.cyou/takarek/loginpr.html,#phishing,https://twitter.com/ecarlesi/status/1586182457140957184
2022-10-29 02:25:56,ecarlesi,url,http://ackitia-takarek.cyou/takarek/login.html,#phishing,https://twitter.com/ecarlesi/status/1586182515072573442
2022-10-29 02:29:19,ecarlesi,url,https://findmy-lcloud-info.live/,#phishing,https://twitter.com/ecarlesi/status/1586183369078996992
2022-10-29 02:29:54,ecarlesi,url,https://yhgf7.doctor/,#malware,https://twitter.com/ecarlesi/status/1586183515183484929
2022-10-29 02:30:13,ecarlesi,url,https://flndmy-lcloud-2s.live/,#phishing,https://twitter.com/ecarlesi/status/1586183596481683456
2022-10-29 02:30:21,ecarlesi,url,http://ackitia-takarek.cyou/takarek/loginkd.html,#phishing,https://twitter.com/ecarlesi/status/1586183629914472448
2022-10-29 02:32:01,ecarlesi,url,http://helenatopness.online/promisekk.zip,#phishing,https://twitter.com/ecarlesi/status/1586184046731792385
2022-10-29 02:32:43,ecarlesi,url,https://yitm3.software/,#malware,https://twitter.com/ecarlesi/status/1586184223010000898
2022-10-29 02:34:51,ecarlesi,url,https://xiaomi-device-location.live/,#phishing,https://twitter.com/ecarlesi/status/1586184761319559168
2022-10-29 02:35:23,ecarlesi,url,https://verlopencontract-verleng.art/html.zip,#phishing,https://twitter.com/ecarlesi/status/1586184896128720897
2022-10-29 02:35:48,drb_ra,ip,45.77.14.152,#CobaltStrike,https://twitter.com/drb_ra/status/1586185001279840257
2022-10-29 02:36:20,drb_ra,ip,44.198.16.37,#CobaltStrike,https://twitter.com/drb_ra/status/1586185133538820097
2022-10-29 02:36:54,drb_ra,ip,137.184.124.19,#CobaltStrike,https://twitter.com/drb_ra/status/1586185275776065536
2022-10-29 02:37:32,drb_ra,ip,194.156.133.227,#CobaltStrike,https://twitter.com/drb_ra/status/1586185434144690176
2022-10-29 02:37:53,drb_ra,ip,174.139.150.250,#CobaltStrike,https://twitter.com/drb_ra/status/1586185523932037121
2022-10-29 02:37:53,drb_ra,ip,77.73.133.79,#CobaltStrike,https://twitter.com/drb_ra/status/1586185523932037121
2022-10-29 02:38:13,drb_ra,ip,137.175.30.220,#CobaltStrike,https://twitter.com/drb_ra/status/1586185606140420098
2022-10-29 02:40:59,ecarlesi,url,http://makeoverbeautysalon.net,#phishing,https://twitter.com/ecarlesi/status/1586186302180892672
2022-10-29 02:42:29,harugasumi,ip,107.150.4.39,#phishing,https://twitter.com/harugasumi/status/1586186680943644673
2022-10-29 02:42:29,harugasumi,url,https://eki.etc-meisai-pay.xyz,#phishing,https://twitter.com/harugasumi/status/1586186680943644673
2022-10-29 02:44:16,ecarlesi,url,http://ackitia-takarek.cyou/takarek/loginpr.html,#phishing,https://twitter.com/ecarlesi/status/1586187131478851584
2022-10-29 02:47:32,ecarlesi,url,http://helenatopness.online/renamee.zip,#phishing,https://twitter.com/ecarlesi/status/1586187953855938563
2022-10-29 02:48:29,ecarlesi,url,https://psdw7.global/,#malware,https://twitter.com/ecarlesi/status/1586188190041489410
2022-10-29 02:58:49,ecarlesi,url,http://555112.net/,#malware,https://twitter.com/ecarlesi/status/1586190792741322752
2022-10-29 03:02:03,AP_Zenmashi,ip,204.44.85.123,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1586191606469652481
2022-10-29 03:02:03,AP_Zenmashi,url,https://ekl1-neettn.top,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1586191606469652481
2022-10-29 03:04:06,harugasumi,ip,204.44.98.160,#phishing,https://twitter.com/harugasumi/status/1586192121748688896
2022-10-29 03:04:06,harugasumi,url,https://yugiohcardscheap.com/jp.php,#phishing,https://twitter.com/harugasumi/status/1586192121748688896
2022-10-29 03:04:06,harugasumi,url,https://rebrand.ly/f02fdc,#phishing,https://twitter.com/harugasumi/status/1586192121748688896
2022-10-29 03:08:14,c9lab_soc,domain,amazonrd.com,#phishing #scam,https://twitter.com/c9lab_soc/status/1586193161776685057
2022-10-29 03:14:29,ecarlesi,url,https://4783.company/,#malware,https://twitter.com/ecarlesi/status/1586194734602911745
2022-10-29 03:14:54,ecarlesi,url,https://revenonanomouton.lol/,#phishing,https://twitter.com/ecarlesi/status/1586194840190083073
2022-10-29 03:15:05,ecarlesi,url,https://4853.company/,#malware,https://twitter.com/ecarlesi/status/1586194883911499778
2022-10-29 03:15:08,ecarlesi,url,http://4398.company/,#malware,https://twitter.com/ecarlesi/status/1586194898956521472
2022-10-29 03:15:56,ecarlesi,url,http://4538.company/,#malware,https://twitter.com/ecarlesi/status/1586195097674256384
2022-10-29 03:20:29,ecarlesi,url,http://4753.company/,#malware,https://twitter.com/ecarlesi/status/1586196246804430850
2022-10-29 03:20:35,ecarlesi,url,https://4538.company/,#malware,https://twitter.com/ecarlesi/status/1586196268551913473
2022-10-29 03:21:21,ecarlesi,url,https://revenonanomouton.lol/home/,#phishing,https://twitter.com/ecarlesi/status/1586196464094552066
2022-10-29 03:21:44,ecarlesi,url,http://lawelder.net/,#phishing,https://twitter.com/ecarlesi/status/1586196558659321857
2022-10-29 03:21:53,ecarlesi,url,https://9114.company/,#malware,https://twitter.com/ecarlesi/status/1586196596554874882
2022-10-29 03:24:22,ecarlesi,url,http://3p88.net/,#malware,https://twitter.com/ecarlesi/status/1586197223150321664
2022-10-29 03:26:12,ecarlesi,url,http://shku7.stream/,#malware,https://twitter.com/ecarlesi/status/1586197681642373120
2022-10-29 03:27:42,ecarlesi,url,https://shku7.stream/,#malware,https://twitter.com/ecarlesi/status/1586198059477880838
2022-10-29 03:27:46,ecarlesi,url,https://4753.company/,#malware,https://twitter.com/ecarlesi/status/1586198076808626176
2022-10-29 03:27:52,ecarlesi,url,https://9766.company/,#malware,https://twitter.com/ecarlesi/status/1586198102943350784
2022-10-29 03:27:57,ecarlesi,url,http://netflix-facture.info,#phishing,https://twitter.com/ecarlesi/status/1586198124934189056
2022-10-29 03:29:17,ecarlesi,url,https://7673.company/,#malware,https://twitter.com/ecarlesi/status/1586198457928278019
2022-10-29 03:30:14,ecarlesi,url,https://6311.company/,#malware,https://twitter.com/ecarlesi/status/1586198697783660545
2022-10-29 03:30:20,ecarlesi,url,https://3743.company/,#malware,https://twitter.com/ecarlesi/status/1586198725252509699
2022-10-29 03:30:20,ecarlesi,url,https://6315.company/,#malware,https://twitter.com/ecarlesi/status/1586198724963098624
2022-10-29 03:34:37,ecarlesi,url,http://tyro5.doctor/,#malware,https://twitter.com/ecarlesi/status/1586199800541765632
