2022-10-23 04:10:06,ecarlesi,url,http://crsgovii.xyz/birthportal.zip,#phishing,https://twitter.com/ecarlesi/status/1584034405907300354
2022-10-23 04:25:28,PhishStats,ip,81.169.145.163,#phishing,https://twitter.com/PhishStats/status/1584038270920724482
2022-10-23 04:25:28,PhishStats,url,http://aruba-it.taxikirschall.de/,#phishing,https://twitter.com/PhishStats/status/1584038270920724482
2022-10-23 04:29:14,kubotaa3,url,https://auoneo-jp.lzhcroq.cn/,#phishing,https://twitter.com/kubotaa3/status/1584039220045238273
2022-10-23 04:29:14,kubotaa3,url,https://auoneo-jp.ksolqd.cn/,#phishing,https://twitter.com/kubotaa3/status/1584039220045238273
2022-10-23 04:29:14,kubotaa3,ip,172.86.124.203,#phishing,https://twitter.com/kubotaa3/status/1584039220045238273
2022-10-23 04:31:07,ecarlesi,url,http://rommper.online/ramaduataa.zip,#phishing,https://twitter.com/ecarlesi/status/1584039693930225664
2022-10-23 04:31:26,ecarlesi,url,http://tommerpol.online/ramaduataa.zip,#phishing,https://twitter.com/ecarlesi/status/1584039771579748352
2022-10-23 04:32:33,ecarlesi,url,https://enposser.online/ramaduataa.zip,#phishing,https://twitter.com/ecarlesi/status/1584040054875267072
2022-10-23 04:34:03,ecarlesi,url,https://cccccvvccc.org/,#phishing,https://twitter.com/ecarlesi/status/1584040431704104960
2022-10-23 04:36:08,ecarlesi,url,https://cccccvvccc.org/verify/rbfcu/,#phishing,https://twitter.com/ecarlesi/status/1584040954453176321
2022-10-23 04:36:20,ecarlesi,url,https://mainprovidersmm.site/ospxpro-v4-smm-panel-script.zip,#phishing,https://twitter.com/ecarlesi/status/1584041004759683073
2022-10-23 04:39:13,ecarlesi,url,https://cccccvvccc.org/verify/rbfxu.zip,#phishing,https://twitter.com/ecarlesi/status/1584041730084843521
2022-10-23 05:01:29,drb_ra,ip,180.76.98.143,#CobaltStrike,https://twitter.com/drb_ra/status/1584047335624974337
2022-10-23 05:01:38,drb_ra,ip,175.178.215.34,#CobaltStrike,https://twitter.com/drb_ra/status/1584047373323743232
2022-10-23 05:03:55,RedPacketSec,md5,0841781ce334fa545cf5ced3df6b019d,#malware #ransomware,https://twitter.com/RedPacketSec/status/1584047949029384192
2022-10-23 05:03:55,RedPacketSec,md5,8db6d3fbe634d9fcf41f15400d1f343c,#malware,https://twitter.com/RedPacketSec/status/1584047947817238529
2022-10-23 05:03:56,RedPacketSec,md5,211ffba6d8fe29258dd740dbe6c19e08,#malware,https://twitter.com/RedPacketSec/status/1584047950296059906
2022-10-23 05:03:56,RedPacketSec,md5,070dddf9d7c0afae4a8c5419e910d4e9,#malware,https://twitter.com/RedPacketSec/status/1584047951605035009
2022-10-23 05:03:56,RedPacketSec,md5,42ff22493f094600f2daa6a2984861a3,#malware,https://twitter.com/RedPacketSec/status/1584047952779042817
2022-10-23 05:03:57,RedPacketSec,md5,fd0957803f2f5d823c11685c8a3a9e73,#malware #ransomware,https://twitter.com/RedPacketSec/status/1584047957820989441
2022-10-23 05:03:57,RedPacketSec,md5,d278a12d260a48cb9ea30d45b58cbeed,#malware #ransomware,https://twitter.com/RedPacketSec/status/1584047956545576961
2022-10-23 05:03:57,RedPacketSec,md5,1ff351a9c2dc8e54b71b3e7b00b1c54a,#malware #ransomware,https://twitter.com/RedPacketSec/status/1584047954091876352
2022-10-23 05:03:57,RedPacketSec,md5,8f4b9aca8df15a22d5ad0ba4ea1488cc,#malware #ransomware,https://twitter.com/RedPacketSec/status/1584047955409264640
2022-10-23 05:03:58,RedPacketSec,md5,f37c9a773215e49e5ebe4cd392a8342f,#malware #ransomware,https://twitter.com/RedPacketSec/status/1584047958990893056
2022-10-23 05:03:58,RedPacketSec,md5,1fae0187a453b236b50ec4cb0b79bea0,#malware,https://twitter.com/RedPacketSec/status/1584047960161390593
2022-10-23 05:03:58,RedPacketSec,md5,deffa172bc01d471e42789864668d103,#malware,https://twitter.com/RedPacketSec/status/1584047961398738944
2022-10-23 05:03:59,RedPacketSec,md5,15ee7e617a3d8f6ac4d6282ecf97633d,#malware,https://twitter.com/RedPacketSec/status/1584047964955164673
2022-10-23 05:03:59,RedPacketSec,md5,e75153e97c63aec5d1fd87917ab26ae3,#malware,https://twitter.com/RedPacketSec/status/1584047966150459393
2022-10-23 05:03:59,RedPacketSec,md5,d313ccc04176d6084de172cb8aa91a3a,#malware,https://twitter.com/RedPacketSec/status/1584047962535362561
2022-10-23 05:03:59,RedPacketSec,md5,30996328635440bbfdceb2462993c966,#malware,https://twitter.com/RedPacketSec/status/1584047963684294656
2022-10-23 05:04:00,RedPacketSec,md5,33e1a7c8adc69d3461517c676329724c,#malware,https://twitter.com/RedPacketSec/status/1584047967358500864
2022-10-23 05:04:00,RedPacketSec,md5,5cf368f15d4698db5ba8baa5df36c0af,#malware,https://twitter.com/RedPacketSec/status/1584047968633597952
2022-10-23 05:04:00,RedPacketSec,md5,e99947d206780178f1a7bdbb28f4437f,#malware,https://twitter.com/RedPacketSec/status/1584047969816702976
2022-10-23 05:04:01,RedPacketSec,md5,8b8fc1ca0f0c23e1af7e1b81bb50e5f0,#malware,https://twitter.com/RedPacketSec/status/1584047970994966529
2022-10-23 05:04:01,RedPacketSec,md5,7a66ef26017b719c511572a40eeaaded,#malware,https://twitter.com/RedPacketSec/status/1584047972249399298
2022-10-23 05:04:01,RedPacketSec,md5,d335c9645b64a6c1f663c1e5b66e4ae3,#malware,https://twitter.com/RedPacketSec/status/1584047973511876619
2022-10-23 05:04:02,RedPacketSec,md5,e38fcd5e4962c10f75bff0f76ecab9e0,#malware,https://twitter.com/RedPacketSec/status/1584047978347892736
2022-10-23 05:04:02,RedPacketSec,md5,286867074234fcd8213674790bf8860b,#malware,https://twitter.com/RedPacketSec/status/1584047974661107712
2022-10-23 05:04:02,RedPacketSec,md5,d9d62055b84b7bb025c8fe0a9b9d2a8e,#malware,https://twitter.com/RedPacketSec/status/1584047975826739202
2022-10-23 05:04:02,RedPacketSec,md5,4e7a2c87fa2d5929cb63bc574608397c,#malware,https://twitter.com/RedPacketSec/status/1584047976996950016
2022-10-23 05:04:03,RedPacketSec,md5,64c9725e8cef21c444555c37058747a6,#malware,https://twitter.com/RedPacketSec/status/1584047979560071168
2022-10-23 05:04:03,RedPacketSec,md5,7914aaaf321d5c515995ff5aa732bfca,#malware,https://twitter.com/RedPacketSec/status/1584047980725739527
2022-10-23 05:04:03,RedPacketSec,md5,0d7044b75d48b2384b7de6554b635255,#malware,https://twitter.com/RedPacketSec/status/1584047981875326978
2022-10-23 05:04:04,RedPacketSec,md5,052243d6ff36e3bb22d9ea1a115716d5,#malware,https://twitter.com/RedPacketSec/status/1584047986920693760
2022-10-23 05:04:04,RedPacketSec,md5,7db02f9228554043de47b354221c8bca,#malware,https://twitter.com/RedPacketSec/status/1584047985746317312
2022-10-23 05:04:04,RedPacketSec,md5,c3c4e121f2cfb6545a78e057a01a0e9a,#malware,https://twitter.com/RedPacketSec/status/1584047983133609987
2022-10-23 05:04:04,RedPacketSec,md5,06f3a20fee347ecd96103bb1ff994f44,#malware,https://twitter.com/RedPacketSec/status/1584047984278667268
2022-10-23 05:04:05,RedPacketSec,md5,bb1defc95c15e1e98dda598060eefc58,#malware,https://twitter.com/RedPacketSec/status/1584047988158386176
2022-10-23 05:04:05,RedPacketSec,md5,127bd95368f39af7681ee101f04d670f,#malware,https://twitter.com/RedPacketSec/status/1584047989353435137
2022-10-23 05:04:05,RedPacketSec,md5,85b8d2fa326926f049d7d3b7a083e08e,#malware,https://twitter.com/RedPacketSec/status/1584047990515200000
2022-10-23 05:04:06,RedPacketSec,md5,9b81061dbd03ced428fcc2be26261013,#malware,https://twitter.com/RedPacketSec/status/1584047991756795904
2022-10-23 05:04:06,RedPacketSec,md5,a386e18f25a23401daf667a3f106d740,#malware,https://twitter.com/RedPacketSec/status/1584047993044762624
2022-10-23 05:04:06,RedPacketSec,md5,23010064797a86eea76b126db028b895,#malware,https://twitter.com/RedPacketSec/status/1584047994269495297
2022-10-23 05:04:06,RedPacketSec,md5,f5f905eb0a940c0daa77f961570978e8,#malware,https://twitter.com/RedPacketSec/status/1584047995489656842
2022-10-23 05:04:07,RedPacketSec,md5,cc0a784027dca336f5ee102165ee1a04,#malware,https://twitter.com/RedPacketSec/status/1584047997901422592
2022-10-23 05:04:07,RedPacketSec,md5,325f660b6e6802581315052c0d9b190c,#malware,https://twitter.com/RedPacketSec/status/1584047996681228288
2022-10-23 05:27:58,ecarlesi,url,http://gestion-renouvellement.info,#phishing,https://twitter.com/ecarlesi/status/1584054001418784769
2022-10-23 05:29:14,ecarlesi,url,https://cryptofund.store/proinvest_v3.7.zip,#phishing,https://twitter.com/ecarlesi/status/1584054318306824198
2022-10-23 05:32:50,ecarlesi,url,https://sickwebs.shop/backup-2kate_site-2020_11_16-01_05am-full-1xdx7pz0kb.zip,#phishing,https://twitter.com/ecarlesi/status/1584055226058756099
2022-10-23 06:14:24,ecarlesi,url,http://com-appie-uk.live/iserver-fix.zip,#phishing,https://twitter.com/ecarlesi/status/1584065686938472448
2022-10-23 06:56:31,PhishStats,ip,210.245.90.196,#phishing,https://twitter.com/PhishStats/status/1584076285122596864
2022-10-23 06:56:31,PhishStats,url,http://support1368.asia/,#phishing,https://twitter.com/PhishStats/status/1584076285122596864
2022-10-23 07:19:07,ecarlesi,url,https://auth-nz-login.com,#phishing,https://twitter.com/ecarlesi/status/1584081973236371456
2022-10-23 07:23:29,ecarlesi,url,https://commbank-secure-online.com/,#phishing,https://twitter.com/ecarlesi/status/1584083068855275520
2022-10-23 07:26:38,ecarlesi,url,http://clientinfo-ameli.fr,#phishing,https://twitter.com/ecarlesi/status/1584083865035235328
2022-10-23 07:27:17,ecarlesi,url,https://need-assist.com/,#phishing,https://twitter.com/ecarlesi/status/1584084028831170561
2022-10-23 07:28:31,yvesago,url,https://prt-auth.boxmode.io,#phishing,https://twitter.com/yvesago/status/1584084338471469056
2022-10-23 07:29:14,ecarlesi,url,https://updatebrimo-terkini.com/-brimo,#phishing,https://twitter.com/ecarlesi/status/1584084515957268480
2022-10-23 07:30:50,ecarlesi,url,https://updatebrimo-terkini.com/-brimo/,#phishing,https://twitter.com/ecarlesi/status/1584084921429110784
2022-10-23 07:30:58,ecarlesi,url,http://alexisxhicks.com/dhdsuhdsds/square-rd971-new-detail-thank.zip,#phishing,https://twitter.com/ecarlesi/status/1584084954018766849
2022-10-23 07:31:18,ecarlesi,url,https://dispositivo-nonriconosciuto.com/,#phishing,https://twitter.com/ecarlesi/status/1584085037883924482
2022-10-23 07:31:36,ecarlesi,url,https://dispositivo-nonriconosciuto.com/accesso.php,#phishing,https://twitter.com/ecarlesi/status/1584085113045798912
2022-10-23 07:33:45,ecarlesi,url,http://brimoterbaru.com/eform,#phishing,https://twitter.com/ecarlesi/status/1584085656099520512
2022-10-23 07:34:44,ecarlesi,url,https://tcbmtrishazinekapigiristr5733211.com/,#phishing,https://twitter.com/ecarlesi/status/1584085900216004613
2022-10-23 07:37:11,ecarlesi,url,https://renouv-ameli.fr,#phishing,https://twitter.com/ecarlesi/status/1584086517105901570
2022-10-23 07:38:16,ecarlesi,url,https://cvrfyacc.com/,#phishing,https://twitter.com/ecarlesi/status/1584086792378060800
2022-10-23 07:39:11,ecarlesi,url,https://assure-renouvellement-ameli.com,#phishing,https://twitter.com/ecarlesi/status/1584087021990969344
2022-10-23 07:39:37,ecarlesi,url,http://dianarbaker.com/square-rd971-new-detail-thank.zip,#phishing,https://twitter.com/ecarlesi/status/1584087132263497729
2022-10-23 07:39:55,ecarlesi,url,https://restrizione-app-online.com/,#phishing,https://twitter.com/ecarlesi/status/1584087207006318592
2022-10-23 07:40:12,ecarlesi,url,http://brimoterbaru.com/eform/,#phishing,https://twitter.com/ecarlesi/status/1584087276694671364
2022-10-23 07:41:27,ecarlesi,url,http://dashonamcneil.com/hxdhsdhdsh/square-rd971-new-detail-thank.zip,#phishing,https://twitter.com/ecarlesi/status/1584087593611800577
