2024-03-31 06:50:08,drb_ra,url,http://5.181.20.63:443,,https://twitter.com/drb_ra/status/1774328308143931395
2024-03-31 06:50:12,drb_ra,url,http://142.11.236.34:80,,https://twitter.com/drb_ra/status/1774328323516006442
2024-03-31 06:50:12,drb_ra,ip,142.11.236.34,,https://twitter.com/drb_ra/status/1774328323516006442
2024-03-31 06:50:16,drb_ra,url,http://147.78.103.54:80,,https://twitter.com/drb_ra/status/1774328341878718738
2024-03-31 06:50:16,drb_ra,ip,147.78.103.54,,https://twitter.com/drb_ra/status/1774328341878718738
2024-03-31 06:50:20,drb_ra,ip,94.228.169.68,,https://twitter.com/drb_ra/status/1774328356147736761
2024-03-31 06:50:20,drb_ra,url,http://94.228.169.68:80,,https://twitter.com/drb_ra/status/1774328356147736761
2024-03-31 06:50:23,drb_ra,url,http://93.123.39.201:80,,https://twitter.com/drb_ra/status/1774328370836259255
2024-03-31 06:50:23,drb_ra,ip,93.123.39.201,,https://twitter.com/drb_ra/status/1774328370836259255
2024-03-31 06:50:32,drb_ra,url,http://86.38.247.37:80,,https://twitter.com/drb_ra/status/1774328408886907323
2024-03-31 06:50:32,drb_ra,ip,86.38.247.37,,https://twitter.com/drb_ra/status/1774328408886907323
2024-03-31 06:50:37,drb_ra,url,http://45.138.16.150:80,,https://twitter.com/drb_ra/status/1774328427350216711
2024-03-31 06:50:37,drb_ra,ip,45.138.16.150,,https://twitter.com/drb_ra/status/1774328427350216711
2024-03-31 06:50:53,drb_ra,url,http://45.32.65.63:25,,https://twitter.com/drb_ra/status/1774328494333272470
2024-03-31 06:50:54,drb_ra,url,http://45.32.65.63:80,,https://twitter.com/drb_ra/status/1774328499504853161
2024-03-31 06:50:55,drb_ra,ip,45.32.65.63,,https://twitter.com/drb_ra/status/1774328503036469475
2024-03-31 06:50:55,drb_ra,url,http://45.32.65.63:443,,https://twitter.com/drb_ra/status/1774328503036469475
2024-03-31 06:50:58,drb_ra,url,http://3.222.220.182:443,,https://twitter.com/drb_ra/status/1774328516470808658
2024-03-31 06:50:59,drb_ra,url,http://3.222.220.182:465,,https://twitter.com/drb_ra/status/1774328521059410342
2024-03-31 06:52:16,drb_ra,url,http://43.132.193.188:8888,,https://twitter.com/drb_ra/status/1774328843207115080
2024-03-31 06:52:16,drb_ra,ip,43.132.193.188,,https://twitter.com/drb_ra/status/1774328843207115080
2024-03-31 06:52:24,drb_ra,url,http://38.45.126.181:8888,,https://twitter.com/drb_ra/status/1774328877415866482
2024-03-31 06:52:24,drb_ra,ip,38.45.126.181,,https://twitter.com/drb_ra/status/1774328877415866482
2024-03-31 07:04:59,harugasumi,domain,4r5qih.cn,#phishing,https://twitter.com/harugasumi/status/1774332042182021322
2024-03-31 07:04:59,harugasumi,url,https://4r5qih.cn,#phishing,https://twitter.com/harugasumi/status/1774332042182021322
2024-03-31 07:04:59,harugasumi,ip,47.245.57.232,#phishing,https://twitter.com/harugasumi/status/1774332042182021322
2024-03-31 07:05:34,harugasumi,url,https://zsnacw.top/?2kva3i2s,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,domain,zsnacw.top,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,url,https://zcvlcln.top/?2kva3i2s,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,domain,zcvlcln.top,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,url,https://hds589.top/?2kva3i2s,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
2024-03-31 07:05:34,harugasumi,domain,deikh.top,#phishing,https://twitter.com/harugasumi/status/1774332191864140166
